銘柄コード,売り上げ高(2019),売り上げ高(2020),売り上げ高(2021),営業益(2019),営業益(2020),営業益(2021),営業利益率(2019),営業利益率(2020),営業利益率(2021),ROE(2019),ROE(2020),ROE(2021)
1446,"13,167","12,264","12,804",465,421,369,3.53,3.43,2.88,8.26,5.84,4.45
4391,"1,454","1,536","1,601",238,250,148,16.37,16.28,9.24,21.31,14.96,7.81
4392,"10,000",-,-,0,-,-,0.00,-,-,0.00,-,-
7030,"11,410","11,843","22,020","2,741","1,787",612,24.02,15.09,2.78,25.13,14.65,3.55
4388,737,819,840,211,273,280,28.63,33.33,33.33,16.71,16.00,18.77
4389,"1,617","1,844","2,126",302,318,370,18.68,17.25,17.40,14.70,11.89,13.15
4390,"5,780","6,508","8,900",945,"1,070","1,700",16.35,16.44,19.10,26.85,18.40,24.64
9274,"384,973","381,397","428,000","2,280","1,850","-6,100",0.59,0.49,-1.43,5.11,2.53,3.50
6580,"1,612","1,851","2,089",277,257,405,17.18,13.88,19.39,15.56,9.91,16.51
4386,"4,226","4,476","4,600",372,380,386,8.80,8.49,8.39,24.35,19.57,19.17
4387,"1,317","1,847","2,835",182,-106,100,13.82,-5.74,3.53,13.80,-9.99,2.89
9273,"15,206","16,034","17,000","1,210","2,329","2,400",7.96,14.53,14.12,4.95,12.32,11.27
6579,"2,372","2,708","3,982",175,63,178,7.38,2.33,4.47,11.77,3.34,8.62
4385,"51,683","76,275",－,"-12,149","-19,308",－,-23.51,-25.31,－,-26.13,-53.13,－
4384,"17,168","21,494","27,500",143,-244,-50,0.83,-1.14,-0.18,1.02,-7.32,－
6578,"4,757","4,776","4,090",381,-167,"-1,341",8.01,-3.50,-32.79,20.82,-14.01,0.00
6577,"2,173","1,111",－,134,-60,－,6.17,-5.40,－,12.30,-7.53,－
4382,"1,377","1,544","1,700",420,459,230,30.50,29.73,13.53,17.00,6.25,2.41
6574,"2,248","2,414","1,750",150,173,-190,6.67,7.17,-10.86,10.96,11.95,-28.53
6575,"1,883","2,643","2,717",147,20,50,7.81,0.76,1.84,21.08,-2.24,2.95
4381,635,537,787,7,-174,26,1.10,-32.40,3.30,2.15,-43.40,1.81
