順位,銘柄コード,証券,企業名,取引月日,取引値,上場年月日,決算年月,時価総額
135,7676,マザーズ,(株)グッドスピード,14:59,"1,400",2019/04/25,2020/09,"4,349"
136,7064,マザーズ,(株)ハウテレビジョン,14:53,"2,028",2019/04/24,2020/01,"2,619"
137,4440,東証1部,(株)ヴィッツ,15:00,"2,743",2019/04/08,2020/08,"11,120"
138,4439,東証1部,(株)東名,15:00,"1,232",2019/04/03,2020/08,"9,036"
139,7675,名証2部,セントラルフォレストグループ(株),11/20,"1,901",2019/04/01,2019/12,"16,694"
140,4438,マザーズ,(株)Ｗｅｌｂｙ,15:00,"1,446",2019/03/29,2019/12,"11,326"
141,7063,マザーズ,(株)エードット,14:59,"1,884",2019/03/29,2020/06,"4,671"
142,7061,マザーズ,日本ホスピスホールディングス(株),15:00,"1,981",2019/03/28,2019/12,"15,695"
143,7062,マザーズ,(株)フレアス,12:52,706,2019/03/28,2020/03,"1,647"
144,7674,マザーズ,(株)ＮＡＴＴＹ　ＳＷＡＮＫＹ,14:59,"2,590",2019/03/28,2020/06,"5,492"
145,4437,マザーズ,ｇｏｏｄｄａｙｓホールディングス(株),15:00,964,2019/03/25,2020/03,"3,189"
146,7060,東証1部,ギークス(株),15:00,"1,201",2019/03/20,2020/03,"12,589"
147,1451,東証2部,(株)ＫＨＣ,14:38,548,2019/03/19,2020/03,"2,162"
148,4436,マザーズ,(株)ミンカブ・ジ・インフォノイド,15:00,"2,925",2019/03/19,2020/03,"40,312"
149,7059,東証1部,(株)コプロ・ホールディングス,15:00,"3,005",2019/03/19,2020/03,"15,025"
150,7058,東証JQS,共栄セキュリティーサービス(株),14:54,"3,100",2019/03/18,2020/03,"4,670"
151,4435,マザーズ,(株)カオナビ,15:00,"5,160",2019/03/15,2020/03,"58,465"
152,7057,東証JQS,(株)エヌ・シー・エヌ,15:00,"1,080",2019/03/14,2020/03,"3,471"
153,4434,マザーズ,(株)サーバーワークス,15:00,"5,080",2019/03/13,2020/02,"38,517"
154,2972,東証,サンケイリアルエステート投資法人,15:00,"98,000",2019/03/12,,"34,966"
155,7673,東証1部,ダイコー通産(株),15:00,"1,412",2019/03/12,2020/05,"7,530"
156,1887,東証1部,日本国土開発(株),15:00,576,2019/03/05,2020/05,"56,595"
157,4433,東証1部,(株)ヒト・コミュニケーションズ・ホールディングス,15:00,"1,527",2019/03/01,2020/08,"27,332"
158,4431,マザーズ,(株)スマレジ,15:00,"4,540",2019/02/28,2020/04,"44,241"
159,7050,マザーズ,(株)フロンティアインターナショナル,15:00,"1,441",2019/02/28,2020/04,"6,561"
160,4430,東証1部,東海ソフト(株),15:00,"1,119",2019/02/27,2020/05,"5,506"
161,4429,マザーズ,リックソフト(株),15:00,"4,090",2019/02/26,2020/02,"17,556"
162,7049,マザーズ,(株)識学,15:00,"1,506",2019/02/22,2020/02,"11,347"
163,2971,東証,エスコンジャパンリート投資法人,15:00,"111,000",2019/02/13,,"31,411"
164,4428,マザーズ,(株)シノプス,15:00,"1,591",2018/12/25,2019/12,"9,716"
165,7048,マザーズ,ベルトラ(株),15:00,431,2018/12/25,2019/12,"12,463"
166,4427,東証1部,(株)ＥｄｕＬａｂ,15:00,"7,060",2018/12/21,2020/09,"69,064"
167,6232,マザーズ,(株)自律制御システム研究所,15:00,"2,675",2018/12/21,2020/03,"29,143"
168,7037,東証1部,(株)テノ．ホールディングス,15:00,"1,412",2018/12/21,2019/12,"6,576"
169,7047,マザーズ,ポート(株),15:00,703,2018/12/21,2020/03,"8,184"
170,4424,マザーズ,(株)Ａｍａｚｉａ,15:00,"2,621",2018/12/20,2020/09,"17,587"
171,7671,マザーズ,(株)ＡｍｉｄＡホールディングス,15:00,"1,238",2018/12/20,2020/06,"2,605"
172,4425,マザーズ,Ｋｕｄａｎ(株),15:00,"3,190",2018/12/19,2020/03,"24,457"
173,9434,東証1部,ソフトバンク(株),15:00,"1,295",2018/12/19,2020/03,"6,199,353"
174,1450,東証JQS,田中建設工業(株),15:00,"2,090",2018/12/18,2020/03,"9,091"
175,7046,マザーズ,テクノスデータサイエンス・エンジニアリング(株),15:00,"2,313",2018/12/18,2020/03,"5,089"
176,2970,東証JQS,(株)グッドライフカンパニー,15:00,"1,543",2018/12/17,2019/12,"6,535"
177,7045,東証JQS,(株)ツクイスタッフ,14:58,"1,380",2018/12/17,2020/03,"2,217"
178,1449,札幌ア,(株)ＦＵＪＩジャパン,09:00,374,2018/12/13,2019/12,797
179,7670,東証2部,オーウエル(株),14:59,547,2018/12/13,2020/03,"5,744"
180,4423,東証1部,アルテリア・ネットワークス(株),15:00,"1,592",2018/12/12,2020/03,"79,600"
181,7043,マザーズ,アルー(株),15:00,626,2018/12/11,2019/12,"1,599"
182,7044,東証1部,(株)ピアラ,15:00,"2,261",2018/12/11,2019/12,"16,081"
183,3498,マザーズ,霞ヶ関キャピタル(株),14:59,"3,660",2018/11/28,2020/08,"11,853"
184,7042,東証JQS,(株)アクセスグループ・ホールディングス,15:00,792,2018/11/06,2020/09,966
185,4422,マザーズ,ＶＡＬＵＥＮＥＸ(株),14:44,"1,489",2018/10/30,2020/07,"4,284"
186,3497,マザーズ,(株)リーガル不動産,15:00,815,2018/10/23,2020/07,"2,570"
187,4421,東証JQS,(株)ディ・アイ・システム,15:00,"2,332",2018/10/19,2020/09,"3,555"
188,9279,東証1部,(株)ギフト,15:00,"1,699",2018/10/19,2019/10,"16,872"
189,7805,東証JQS,プリントネット(株),13:56,489,2018/10/18,2019/10,"2,670"
190,4420,東証1部,イーソル(株),15:00,"1,465",2018/10/12,2019/12,"31,440"
191,4598,マザーズ,Ｄｅｌｔａ－Ｆｌｙ　Ｐｈａｒｍａ(株),15:00,"1,663",2018/10/12,2020/03,"7,491"
192,7041,マザーズ,ＣＲＧホールディングス(株),14:59,486,2018/10/10,2020/09,"2,659"
193,7039,マザーズ,ブリッジインターナショナル(株),15:00,"2,716",2018/10/03,2019/12,"9,718"
194,1447,マザーズ,ＩＴｂｏｏｋホールディングス(株),15:00,657,2018/10/01,2020/03,"13,013"
195,1448,東証1部,(株)スペースバリューホールディングス,15:00,613,2018/10/01,2020/03,"21,796"
196,4399,マザーズ,(株)くふうカンパニー,15:00,839,2018/10/01,2020/09,"15,117"
197,5290,東証2部,(株)ベルテクスコーポレーション,15:00,"1,704",2018/10/01,2020/03,"19,910"
198,6699,東証1部,ダイヤモンドエレクトリックホールディングス(株),15:00,905,2018/10/01,2020/03,"6,999"
199,7040,東証JQS,(株)サン・ライフホールディング,14:46,762,2018/10/01,2020/03,"5,197"
200,7327,東証1部,(株)第四北越フィナンシャルグループ,15:00,"2,173",2018/10/01,2020/03,"99,834"
